,cause,effect,start,end,duration
40,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,108,108,1
41,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,109,113,5
42,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,114,114,1
43,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,115,116,2
44,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,117,118,2
45,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,119,119,1
46,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,120,131,12
47,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,132,132,1
48,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,133,135,3
49,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,136,136,1
50,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,137,137,1
51,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,138,138,1
52,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,139,139,1
53,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,140,140,1
54,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,141,149,9
55,"TEMP_0, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,150,150,1
56,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,151,151,1
57,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,152,154,3
58,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,155,163,9
59,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,164,169,6
60,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,170,170,1
61,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,171,172,2
62,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,173,173,1
63,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,174,174,1
64,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_0,175,175,1
65,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,176,183,8
66,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,184,185,2
67,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,186,186,1
68,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,187,187,1
69,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,188,188,1
70,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,189,189,1
71,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,190,190,1
72,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,191,191,1
73,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_1,192,192,1
74,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_2,193,193,1
75,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,194,195,2
76,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_2,196,196,1
77,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,197,200,4
78,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,201,201,1
79,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,202,204,3
80,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,205,206,2
81,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,207,207,1
82,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,208,208,1
83,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_3,209,209,1
84,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,210,210,1
85,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_2,211,211,1
86,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_3,212,212,1
87,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,213,213,1
88,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,214,217,4
89,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_0,218,220,3
90,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_1,221,221,1
91,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_0,222,222,1
92,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,223,224,2
93,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,225,226,2
94,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,227,227,1
95,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,228,228,1
96,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,229,229,1
97,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,230,231,2
98,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,232,232,1
99,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,233,234,2
100,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,235,235,1
101,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,236,244,9
102,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,245,245,1
103,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,246,246,1
104,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,247,251,5
105,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,252,252,1
106,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,253,253,1
107,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,254,256,3
108,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,257,267,11
109,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,268,268,1
110,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,269,269,1
111,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_0",PM10_3,270,270,1
112,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM10_3,271,271,1
113,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,272,273,2
114,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,274,277,4
115,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,278,279,2
116,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,280,280,1
117,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,281,282,2
118,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,283,287,5
119,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,288,310,23
120,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,311,311,1
121,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,312,313,2
122,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,314,314,1
123,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,315,319,5
124,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,320,321,2
125,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,322,339,18
126,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,340,340,1
127,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,341,341,1
128,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,342,342,1
129,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,343,348,6
130,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,349,349,1
131,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,350,352,3
132,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,353,353,1
133,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,354,355,2
134,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,356,356,1
135,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,357,357,1
136,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,358,358,1
137,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,359,368,10
138,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,369,378,10
139,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,379,384,6
140,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,385,394,10
141,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,395,402,8
142,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,403,403,1
143,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,404,404,1
144,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,405,408,4
145,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,409,411,3
146,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,412,412,1
147,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,413,413,1
148,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_2,414,414,1
149,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,415,415,1
150,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,416,416,1
151,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_0,417,417,1
152,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,418,420,3
153,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,421,423,3
154,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,424,425,2
155,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_1,426,426,1
156,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,427,427,1
157,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,428,428,1
158,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,429,429,1
159,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,430,440,11
160,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,441,448,8
161,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM10_1,449,449,1
162,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,450,451,2
163,"TEMP_1, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM10_0,452,452,1
164,"TEMP_1, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM10_1,453,453,1
165,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,454,454,1
166,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM10_2,455,455,1
167,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM10_1,456,456,1
168,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM10_0,457,460,4
169,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_0",PM10_0,461,461,1
170,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,462,463,2
171,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,464,464,1
172,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,465,466,2
173,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,467,467,1
174,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,468,468,1
175,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,469,469,1
176,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,470,471,2
177,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,472,472,1
178,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,473,473,1
179,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,474,480,7
180,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,481,482,2
181,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,483,484,2
182,"TEMP_0, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,485,486,2
183,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,487,488,2
184,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,489,508,20
185,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,509,510,2
186,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,511,511,1
187,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,512,518,7
188,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,519,522,4
189,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,523,524,2
190,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,525,527,3
191,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,528,528,1
192,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,529,537,9
193,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,538,538,1
194,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,539,542,4
195,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,543,543,1
196,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,544,544,1
197,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,545,545,1
198,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,546,546,1
199,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_1,547,547,1
200,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,548,548,1
201,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,549,554,6
202,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,555,557,3
203,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,558,566,9
204,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,567,567,1
205,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,568,570,3
206,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,571,571,1
207,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,572,577,6
208,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,578,578,1
209,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,579,580,2
210,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,581,582,2
211,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,583,583,1
212,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,584,584,1
213,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,585,585,1
214,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,586,590,5
215,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,591,591,1
216,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,592,601,10
217,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,602,602,1
218,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,603,603,1
219,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,604,605,2
220,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,606,606,1
221,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,607,612,6
222,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,613,616,4
223,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,617,619,3
224,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,620,633,14
225,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,634,634,1
226,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,635,636,2
227,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,637,637,1
228,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_1,638,638,1
229,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,639,641,3
230,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,642,644,3
231,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,645,651,7
232,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_0,652,654,3
233,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,655,659,5
234,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_1,660,660,1
235,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,661,665,5
236,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,666,666,1
237,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,667,688,22
238,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,689,689,1
239,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,690,694,5
240,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,695,696,2
241,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,697,697,1
242,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,698,699,2
243,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_2,700,700,1
244,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,701,702,2
245,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,703,712,10
246,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,713,720,8
247,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,721,733,13
248,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,734,748,15
249,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,749,749,1
250,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,750,751,2
251,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,752,752,1
252,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_0,753,754,2
253,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,755,755,1
254,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,756,756,1
255,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,757,757,1
256,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,758,758,1
257,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,759,760,2
258,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_0,761,761,1
259,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,762,764,3
260,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,765,768,4
261,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_0,769,769,1
262,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_2,770,770,1
263,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,771,772,2
264,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,773,777,5
265,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,778,779,2
266,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,780,790,11
267,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,791,792,2
268,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,793,793,1
269,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,794,794,1
270,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,795,795,1
271,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_3,796,796,1
272,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,797,799,3
273,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,800,804,5
274,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,805,805,1
275,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,806,810,5
276,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,811,812,2
277,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,813,814,2
278,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,815,816,2
279,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,817,819,3
280,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_0,820,821,2
281,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,822,822,1
282,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM10_2,823,823,1
283,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,824,827,4
284,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,828,829,2
