,cause,effect,start,end,duration
27,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,70,71,2
28,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,72,73,2
29,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,74,74,1
30,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,75,81,7
31,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,82,82,1
32,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,83,91,9
33,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,92,93,2
34,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,94,95,2
35,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,96,97,2
36,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,98,99,2
37,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,100,101,2
38,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,102,102,1
39,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,103,106,4
40,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,107,107,1
41,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,108,108,1
42,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,109,113,5
43,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,114,114,1
44,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,115,116,2
45,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,117,118,2
46,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,119,119,1
47,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,120,131,12
48,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,132,132,1
49,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,133,135,3
50,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,136,136,1
51,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,137,137,1
52,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,138,138,1
53,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,139,139,1
54,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,140,140,1
55,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,141,149,9
56,"TEMP_0, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,150,150,1
57,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,151,151,1
58,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,152,154,3
59,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,155,163,9
60,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,164,169,6
61,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,170,170,1
62,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,171,172,2
63,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,173,173,1
64,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,174,174,1
65,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,175,175,1
66,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,176,176,1
67,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,177,183,7
68,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,184,185,2
69,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,186,186,1
70,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,187,187,1
71,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,188,189,2
72,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,190,190,1
73,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,191,191,1
74,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_1,192,192,1
75,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_2,193,193,1
76,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,194,194,1
77,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,195,195,1
78,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,196,196,1
79,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,197,200,4
80,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,201,201,1
81,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_3,202,204,3
82,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_1,205,206,2
83,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,207,207,1
84,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,208,208,1
85,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,209,209,1
86,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,210,210,1
87,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,211,212,2
88,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,213,217,5
89,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,218,222,5
90,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,223,227,5
91,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,228,230,3
92,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,231,231,1
93,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,232,234,3
94,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,235,235,1
95,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,236,244,9
96,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,245,245,1
97,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,246,246,1
98,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,247,251,5
99,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,252,252,1
100,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,253,253,1
101,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,254,256,3
102,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,257,267,11
103,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,268,268,1
104,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,269,269,1
105,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_0",PM2.5_3,270,270,1
106,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,271,271,1
107,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,272,279,8
108,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,280,280,1
109,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,281,282,2
110,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,283,287,5
111,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,288,288,1
112,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,289,307,19
113,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,308,308,1
114,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,309,309,1
115,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,310,311,2
116,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,312,312,1
117,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,313,313,1
118,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,314,314,1
119,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,315,316,2
120,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,317,317,1
121,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,318,318,1
122,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,319,319,1
123,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,320,339,20
124,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,340,340,1
125,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,341,341,1
126,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,342,342,1
127,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,343,348,6
128,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,349,349,1
129,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,350,352,3
130,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,353,353,1
131,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,354,355,2
132,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,356,356,1
133,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,357,357,1
134,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,358,358,1
135,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,359,368,10
136,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,369,378,10
137,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,379,384,6
138,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,385,394,10
139,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,395,402,8
140,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,403,403,1
141,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,404,404,1
142,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,405,408,4
143,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,409,410,2
144,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,411,411,1
145,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,412,412,1
146,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,413,414,2
147,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,415,416,2
148,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,417,417,1
149,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,418,420,3
150,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,421,423,3
151,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,424,425,2
152,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,426,426,1
153,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,427,427,1
154,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,428,428,1
155,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,429,440,12
156,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,441,442,2
157,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,443,443,1
158,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,444,448,5
159,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_1,449,449,1
160,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,450,450,1
161,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,451,451,1
162,"TEMP_1, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_2,452,453,2
163,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,454,454,1
164,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,455,455,1
165,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_2,456,456,1
166,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_1,457,458,2
167,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_0,459,460,2
168,"TEMP_0, PRES_1, DEWP_0, RAIN_1, WSPM_0",PM2.5_0,461,461,1
169,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,462,463,2
170,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,464,464,1
171,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,465,465,1
172,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,466,467,2
173,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,468,468,1
174,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,469,470,2
175,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,471,472,2
176,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,473,475,3
177,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,476,480,5
178,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,481,484,4
179,"TEMP_0, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,485,486,2
180,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,487,508,22
181,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,509,509,1
182,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,510,512,3
183,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,513,515,3
184,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,516,517,2
185,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,518,518,1
186,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,519,519,1
187,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,520,520,1
188,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,521,522,2
189,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,523,527,5
190,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,528,528,1
191,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,529,532,4
192,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,533,533,1
193,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,534,537,4
194,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,538,542,5
195,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,543,543,1
196,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_3,544,544,1
197,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_2,545,545,1
198,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,546,546,1
199,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,547,547,1
200,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,548,554,7
201,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,555,557,3
202,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,558,566,9
203,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,567,567,1
204,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,568,571,4
205,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,572,572,1
206,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,573,577,5
207,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,578,578,1
208,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,579,580,2
209,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,581,582,2
210,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,583,584,2
211,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,585,585,1
212,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,586,590,5
213,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,591,591,1
214,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,592,601,10
215,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,602,602,1
216,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,603,603,1
217,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,604,605,2
218,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,606,606,1
219,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,607,612,6
220,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,613,616,4
221,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,617,619,3
222,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,620,633,14
223,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,634,634,1
224,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,635,636,2
225,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,637,637,1
226,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_2,638,638,1
227,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,639,644,6
228,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,645,651,7
229,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,652,654,3
230,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,655,659,5
231,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,660,660,1
232,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,661,665,5
233,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,666,666,1
234,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,667,667,1
235,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,668,692,25
236,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,693,699,7
237,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,700,700,1
238,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,701,733,33
239,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,734,748,15
240,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,749,749,1
241,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,750,751,2
242,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,752,752,1
243,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,753,754,2
244,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,755,756,2
245,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,757,757,1
246,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,758,758,1
247,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,759,760,2
248,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,761,761,1
249,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,762,764,3
250,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,765,768,4
251,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,769,770,2
252,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,771,771,1
253,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,772,773,2
254,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,774,777,4
255,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,778,779,2
256,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,780,790,11
257,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,791,792,2
258,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,793,793,1
259,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,794,794,1
260,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,795,795,1
261,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,796,796,1
262,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,797,799,3
263,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,800,804,5
264,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_3,805,805,1
265,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,806,810,5
266,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,811,812,2
267,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,813,822,10
268,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_2,823,823,1
269,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,824,827,4
270,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,828,829,2
271,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,830,832,3
272,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,833,836,4
