cause,effect,start,end,duration
x_0,a_1,3886,3901,16
x_0,s_1,3902,3902,1
x_0,a_1,3903,3903,1
x_0,s_1,3904,3904,1
x_0,a_1,3905,3913,9
j_0,e_1,3914,3936,23
j_0,g_1,3937,3938,2
j_0,e_1,3939,3942,4
e_0,q_1,3943,3967,25
w_0,h_1,3968,3968,1
w_0,b_1,3969,3969,1
w_0,h_1,3970,3986,17
w_0,b_1,3987,3987,1
w_0,h_1,3988,3989,2
h_0,x_1,3990,4003,14
h_0,f_1,4004,4004,1
h_0,x_1,4005,4013,9
h_0,f_1,4014,4014,1
h_0,x_1,4015,4022,8
c_0,c_1,4023,4036,14
c_0,a_1,4037,4037,1
c_0,c_1,4038,4048,11
c_0,a_1,4049,4049,1
c_0,c_1,4050,4050,1
n_0,o_1,4051,4066,16
n_0,p_1,4067,4067,1
n_0,o_1,4068,4071,4
n_0,p_1,4072,4073,2
n_0,o_1,4074,4084,11
c_0,n_1,4085,4097,13
c_0,a_1,4098,4098,1
c_0,n_1,4099,4105,7
c_0,a_1,4106,4106,1
c_0,n_1,4107,4113,7
c_0,a_1,4114,4114,1
c_0,n_1,4115,4118,4
j_0,r_1,4119,4133,15
j_0,g_1,4134,4134,1
j_0,r_1,4135,4152,18
j_0,g_1,4153,4153,1
j_0,r_1,4154,4154,1
m_0,s_1,4155,4158,4
m_0,v_1,4159,4159,1
m_0,s_1,4160,4181,22
p_0,y_1,4182,4189,8
p_0,n_1,4190,4191,2
p_0,y_1,4192,4201,10
w_0,t_1,4202,4215,14
w_0,b_1,4216,4216,1
w_0,t_1,4217,4228,12
g_0,y_1,4229,4251,23
g_0,j_1,4252,4252,1
g_0,y_1,4253,4256,4
g_0,j_1,4257,4257,1
g_0,y_1,4258,4262,5
g_0,j_1,4263,4263,1
g_0,y_1,4264,4268,5
n_0,y_1,4269,4285,17
n_0,p_1,4286,4286,1
n_0,y_1,4287,4294,8
s_0,d_1,4295,4304,10
s_0,z_1,4305,4305,1
s_0,d_1,4306,4333,28
v_0,b_1,4334,4338,5
v_0,e_1,4339,4339,1
v_0,b_1,4340,4355,16
v_0,e_1,4356,4356,1
v_0,b_1,4357,4363,7
l_0,u_1,4364,4382,19
l_0,o_1,4383,4383,1
y_0,a_1,4384,4398,15
y_0,k_1,4399,4399,1
y_0,a_1,4400,4407,8
e_0,x_1,4408,4412,5
e_0,q_1,4413,4413,1
e_0,x_1,4414,4430,17
o_0,p_1,4431,4443,13
o_0,c_1,4444,4444,1
o_0,p_1,4445,4462,18
a_0,d_1,4463,4472,10
a_0,m_1,4473,4473,1
a_0,d_1,4474,4490,17
a_0,m_1,4491,4491,1
a_0,d_1,4492,4497,6
u_0,t_1,4498,4510,13
u_0,u_1,4511,4511,1
u_0,t_1,4512,4522,11
u_0,u_1,4523,4523,1
u_0,t_1,4524,4525,2
u_0,u_1,4526,4526,1
s_0,v_1,4527,4527,1
s_0,z_1,4528,4528,1
s_0,v_1,4529,4534,6
s_0,z_1,4535,4535,1
s_0,v_1,4536,4547,12
c_0,b_1,4548,4562,15
c_0,a_1,4563,4563,1
c_0,b_1,4564,4571,8
c_0,a_1,4572,4572,1
c_0,b_1,4573,4578,6
c_0,a_1,4579,4579,1
y_0,x_1,4580,4594,15
y_0,k_1,4595,4595,1
y_0,x_1,4596,4603,8
y_0,k_1,4604,4604,1
v_0,h_1,4605,4616,12
v_0,e_1,4617,4618,2
v_0,h_1,4619,4620,2
v_0,e_1,4621,4621,1
v_0,h_1,4622,4630,9
l_0,g_1,4631,4638,8
l_0,o_1,4639,4639,1
l_0,g_1,4640,4663,24
m_0,b_1,4664,4670,7
m_0,v_1,4671,4671,1
m_0,b_1,4672,4675,4
m_0,v_1,4676,4676,1
m_0,b_1,4677,4678,2
m_0,v_1,4679,4679,1
m_0,b_1,4680,4698,19
m_0,v_1,4699,4699,1
f_0,z_1,4700,4725,26
f_0,h_1,4726,4726,1
n_0,k_1,4727,4741,15
n_0,p_1,4742,4743,2
n_0,k_1,4744,4747,4
g_0,m_1,4748,4756,9
g_0,j_1,4757,4757,1
g_0,m_1,4758,4767,10
g_0,j_1,4768,4768,1
g_0,m_1,4769,4771,3
g_0,j_1,4772,4772,1
g_0,m_1,4773,4784,12
u_0,b_1,4785,4803,19
u_0,u_1,4804,4804,1
u_0,b_1,4805,4814,10
u_0,u_1,4815,4815,1
o_0,q_1,4816,4838,23
o_0,c_1,4839,4839,1
o_0,q_1,4840,4840,1
j_0,z_1,4841,4861,21
j_0,g_1,4862,4862,1
j_0,z_1,4863,4870,8
u_0,q_1,4871,4876,6
u_0,u_1,4877,4877,1
u_0,q_1,4878,4879,2
u_0,u_1,4880,4880,1
u_0,q_1,4881,4890,10
z_0,z_1,4891,4896,6
z_0,y_1,4897,4897,1
z_0,z_1,4898,4919,22
i_0,v_1,4920,4921,2
i_0,d_1,4922,4922,1
i_0,v_1,4923,4931,9
i_0,d_1,4932,4932,1
i_0,v_1,4933,4937,5
i_0,d_1,4938,4938,1
i_0,v_1,4939,4949,11
n_0,b_1,4950,4963,14
n_0,p_1,4964,4964,1
n_0,b_1,4965,4967,3
n_0,p_1,4968,4968,1
n_0,b_1,4969,4969,1
a_0,d_1,4970,4972,3
a_0,m_1,4973,4973,1
a_0,d_1,4974,4999,26
e_0,h_1,5000,5020,21
e_0,q_1,5021,5021,1
e_0,h_1,5022,5025,4
e_0,q_1,5026,5026,1
e_0,h_1,5027,5034,8
a_0,s_1,5035,5046,12
a_0,m_1,5047,5047,1
a_0,s_1,5048,5053,6
a_0,m_1,5054,5054,1
a_0,s_1,5055,5057,3
w_0,h_1,5058,5060,3
w_0,b_1,5061,5061,1
w_0,h_1,5062,5065,4
w_0,b_1,5066,5066,1
w_0,h_1,5067,5082,16
w_0,b_1,5083,5083,1
w_0,h_1,5084,5086,3
l_0,a_1,5087,5090,4
l_0,o_1,5091,5091,1
l_0,a_1,5092,5116,25
t_0,h_1,5117,5126,10
t_0,x_1,5127,5127,1
t_0,h_1,5128,5132,5
t_0,x_1,5133,5133,1
t_0,h_1,5134,5141,8
t_0,x_1,5142,5142,1
q_0,z_1,5143,5143,1
q_0,l_1,5144,5144,1
q_0,z_1,5145,5158,14
q_0,l_1,5159,5159,1
q_0,z_1,5160,5164,5
u_0,p_1,5165,5186,22
u_0,u_1,5187,5188,2
u_0,p_1,5189,5199,11
d_0,k_1,5200,5201,2
d_0,i_1,5202,5202,1
d_0,k_1,5203,5227,25
x_0,t_1,5228,5228,1
x_0,s_1,5229,5229,1
x_0,t_1,5230,5232,3
x_0,s_1,5233,5234,2
x_0,t_1,5235,5258,24
y_0,r_1,5259,5263,5
y_0,k_1,5264,5264,1
y_0,r_1,5265,5290,26
y_0,k_1,5291,5291,1
y_0,r_1,5292,5295,4
b_0,s_1,5296,5301,6
b_0,r_1,5302,5302,1
b_0,s_1,5303,5305,3
b_0,r_1,5306,5306,1
b_0,s_1,5307,5324,18
x_0,t_1,5325,5330,6
x_0,s_1,5331,5331,1
x_0,t_1,5332,5332,1
x_0,s_1,5333,5333,1
x_0,t_1,5334,5343,10
x_0,s_1,5344,5344,1
x_0,t_1,5345,5363,19
a_0,o_1,5364,5366,3
a_0,m_1,5367,5367,1
a_0,o_1,5368,5389,22
a_0,m_1,5390,5390,1
a_0,o_1,5391,5395,5
z_0,a_1,5396,5410,15
z_0,y_1,5411,5411,1
z_0,a_1,5412,5434,23
k_0,o_1,5435,5452,18
k_0,w_1,5453,5453,1
k_0,o_1,5454,5457,4
k_0,w_1,5458,5458,1
k_0,o_1,5459,5459,1
k_0,w_1,5460,5460,1
k_0,o_1,5461,5461,1
k_0,w_1,5462,5462,1
k_0,o_1,5463,5472,10
p_0,a_1,5473,5480,8
p_0,n_1,5481,5481,1
p_0,a_1,5482,5489,8
p_0,n_1,5490,5490,1
p_0,a_1,5491,5493,3
p_0,n_1,5494,5494,1
p_0,a_1,5495,5505,11
h_0,i_1,5506,5516,11
h_0,f_1,5517,5517,1
h_0,i_1,5518,5530,13
h_0,f_1,5531,5531,1
h_0,i_1,5532,5532,1
h_0,f_1,5533,5533,1
h_0,i_1,5534,5545,12
f_0,g_1,5546,5575,30
f_0,h_1,5576,5576,1
f_0,g_1,5577,5578,2
f_0,h_1,5579,5579,1
f_0,g_1,5580,5581,2
o_0,q_1,5582,5599,18
o_0,c_1,5600,5600,1
o_0,q_1,5601,5608,8
p_0,n_1,5609,5609,1
p_0,h_1,5610,5616,7
p_0,n_1,5617,5617,1
p_0,h_1,5618,5623,6
p_0,n_1,5624,5624,1
p_0,h_1,5625,5635,11
r_0,k_1,5636,5637,2
r_0,t_1,5638,5638,1
r_0,k_1,5639,5640,2
r_0,t_1,5641,5641,1
r_0,k_1,5642,5666,25
