,effect,cause
49,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
50,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
51,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
52,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
53,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
54,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
55,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
56,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
57,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
58,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
59,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
60,PM2.5_3,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
61,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
62,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2"
63,PM2.5_1,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
64,PM2.5_0,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
65,PM2.5_1,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
66,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
67,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
68,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
69,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
70,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
71,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
72,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
73,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
74,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
75,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
76,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
77,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
78,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
79,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
80,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
81,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
82,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_0"
83,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
84,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
85,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
86,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
87,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
88,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
89,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
90,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
91,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
92,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
93,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
94,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
95,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
96,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
97,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
98,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
99,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
100,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
101,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
102,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
103,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
104,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
105,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
106,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
107,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
108,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0"
109,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
110,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
111,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
112,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
113,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
114,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
115,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
116,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
117,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
118,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
119,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
120,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
121,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
122,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
123,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
124,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
125,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
126,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
127,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
128,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
129,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
130,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
131,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
132,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
133,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
134,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
135,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
136,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0"
137,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
138,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
139,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
140,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
141,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
142,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
143,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
144,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
145,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
146,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
147,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
148,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
149,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
150,PM2.5_3,"TEMP_0, PRES_0, DEWP_0, RAIN_0, WSPM_0"
151,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
152,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
153,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
154,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
155,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
156,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
157,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
158,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
159,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
160,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
161,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
162,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
163,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
164,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
165,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
166,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
167,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
168,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
169,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
170,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
171,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
172,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
173,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
174,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
175,PM2.5_0,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
176,PM2.5_0,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
177,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
178,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
179,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
180,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
181,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
182,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
183,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
184,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
185,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
186,PM2.5_1,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
187,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
188,PM2.5_2,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
189,PM2.5_2,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
190,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
191,PM2.5_1,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
192,PM2.5_1,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
193,PM2.5_2,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
194,PM2.5_2,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
195,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
196,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
197,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
198,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
199,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
200,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
201,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
202,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2"
203,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2"
204,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2"
205,PM2.5_1,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2"
206,PM2.5_1,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2"
207,PM2.5_1,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
208,PM2.5_0,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_2"
209,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2"
210,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
211,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2"
212,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2"
213,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
214,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
215,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
216,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
217,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
218,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
219,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
220,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
221,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
222,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
223,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
224,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
225,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
226,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
227,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
228,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
229,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
230,PM2.5_0,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
231,PM2.5_1,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
232,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
233,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
234,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
235,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
236,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
237,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
238,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
239,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
240,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
241,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
242,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
243,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
244,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
245,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
246,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
247,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
248,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
249,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
250,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
251,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
252,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
253,PM2.5_3,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1"
254,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
255,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
256,PM2.5_3,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1"
257,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
258,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
259,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
260,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
261,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
262,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
263,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
264,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
265,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
266,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
267,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
268,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
269,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
270,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_0"
271,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1"
272,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
273,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
274,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
275,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
276,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
277,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
278,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
279,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
280,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0"
281,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
282,PM2.5_3,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1"
283,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
284,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
285,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
286,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
287,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
288,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
289,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
290,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
291,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
292,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
293,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
294,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
295,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
296,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
297,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
298,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
299,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
300,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
301,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
302,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
303,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
