,cause,effect
174,j_0,b_1
175,j_0,b_1
176,j_0,b_1
177,j_0,b_1
178,j_0,b_1
179,j_0,b_1
180,j_0,b_1
181,j_0,b_1
182,j_0,b_1
183,j_0,b_1
184,j_0,b_1
185,j_0,b_1
186,j_0,b_1
187,j_0,b_1
188,j_0,b_1
189,j_0,b_1
190,j_0,b_1
191,j_0,b_1
192,j_0,b_1
193,j_0,b_1
194,j_0,b_1
195,u_0,w_1
196,u_0,w_1
197,u_0,w_1
198,u_0,u_1
199,u_0,w_1
200,u_0,w_1
201,u_0,w_1
202,u_0,w_1
203,u_0,w_1
204,u_0,w_1
205,u_0,w_1
206,u_0,w_1
207,u_0,u_1
208,u_0,w_1
209,u_0,w_1
210,u_0,w_1
211,u_0,w_1
212,u_0,u_1
213,u_0,w_1
214,u_0,w_1
215,u_0,w_1
216,u_0,w_1
217,u_0,w_1
218,u_0,w_1
219,u_0,w_1
220,u_0,w_1
221,u_0,w_1
222,u_0,w_1
223,u_0,w_1
224,u_0,w_1
225,u_0,w_1
226,u_0,w_1
227,u_0,w_1
228,u_0,u_1
229,u_0,w_1
230,u_0,w_1
231,c_0,e_1
232,c_0,e_1
233,c_0,e_1
234,c_0,e_1
235,c_0,e_1
236,c_0,e_1
237,c_0,e_1
238,c_0,e_1
239,c_0,e_1
240,c_0,e_1
241,c_0,e_1
242,c_0,e_1
243,c_0,e_1
244,c_0,e_1
245,c_0,e_1
246,c_0,e_1
247,c_0,e_1
248,c_0,e_1
249,c_0,e_1
250,c_0,a_1
251,c_0,e_1
252,c_0,a_1
253,d_0,t_1
254,d_0,t_1
255,d_0,t_1
256,d_0,i_1
257,d_0,t_1
258,d_0,t_1
259,d_0,t_1
260,d_0,t_1
261,d_0,t_1
262,d_0,t_1
263,d_0,t_1
264,d_0,t_1
265,d_0,t_1
266,d_0,t_1
267,d_0,t_1
268,d_0,t_1
269,d_0,t_1
270,d_0,t_1
271,d_0,t_1
272,d_0,t_1
273,d_0,i_1
274,d_0,t_1
275,d_0,t_1
276,d_0,t_1
277,d_0,t_1
278,d_0,t_1
279,d_0,t_1
280,d_0,t_1
281,d_0,t_1
282,d_0,t_1
283,d_0,t_1
284,d_0,t_1
285,d_0,t_1
286,d_0,t_1
287,d_0,t_1
288,d_0,t_1
289,d_0,t_1
290,k_0,u_1
291,k_0,u_1
292,k_0,u_1
293,k_0,u_1
294,k_0,u_1
295,k_0,u_1
296,k_0,u_1
297,k_0,u_1
298,k_0,u_1
299,k_0,u_1
300,k_0,u_1
301,k_0,u_1
302,k_0,u_1
303,k_0,u_1
304,k_0,u_1
305,k_0,w_1
306,k_0,u_1
307,k_0,u_1
308,k_0,u_1
309,k_0,u_1
310,k_0,u_1
311,k_0,u_1
312,k_0,u_1
313,k_0,u_1
314,k_0,u_1
315,k_0,u_1
316,k_0,u_1
317,k_0,u_1
318,k_0,u_1
319,k_0,u_1
320,k_0,u_1
321,k_0,u_1
322,k_0,u_1
323,k_0,u_1
324,k_0,u_1
325,o_0,i_1
326,o_0,i_1
327,o_0,i_1
328,o_0,i_1
329,o_0,i_1
330,o_0,i_1
331,o_0,i_1
332,o_0,i_1
333,o_0,i_1
334,o_0,i_1
335,o_0,i_1
336,o_0,i_1
337,o_0,i_1
338,o_0,i_1
339,o_0,i_1
340,o_0,i_1
341,o_0,i_1
342,o_0,i_1
343,o_0,c_1
344,o_0,i_1
345,o_0,i_1
346,o_0,i_1
347,o_0,i_1
348,o_0,i_1
349,o_0,i_1
350,o_0,i_1
351,o_0,i_1
352,o_0,i_1
353,o_0,i_1
354,o_0,i_1
355,i_0,h_1
356,i_0,h_1
357,i_0,h_1
358,i_0,h_1
359,i_0,h_1
360,i_0,h_1
361,i_0,h_1
362,i_0,h_1
363,i_0,h_1
364,i_0,h_1
365,i_0,h_1
366,i_0,h_1
367,i_0,h_1
368,i_0,h_1
369,i_0,d_1
370,i_0,h_1
371,i_0,h_1
372,i_0,h_1
373,i_0,h_1
374,i_0,h_1
375,i_0,h_1
376,i_0,h_1
377,i_0,h_1
378,i_0,h_1
379,i_0,h_1
380,i_0,h_1
381,i_0,h_1
382,i_0,h_1
383,g_0,s_1
384,g_0,s_1
385,g_0,s_1
386,g_0,s_1
387,g_0,s_1
388,g_0,s_1
389,g_0,s_1
390,g_0,s_1
391,g_0,s_1
392,g_0,s_1
393,g_0,s_1
394,g_0,s_1
395,g_0,s_1
396,g_0,s_1
397,g_0,s_1
398,g_0,s_1
399,g_0,s_1
400,g_0,j_1
401,g_0,s_1
402,g_0,s_1
403,g_0,s_1
404,g_0,s_1
405,g_0,s_1
406,g_0,j_1
407,g_0,s_1
408,g_0,s_1
409,g_0,s_1
410,g_0,s_1
411,g_0,s_1
412,g_0,s_1
413,g_0,s_1
414,g_0,s_1
415,g_0,s_1
416,g_0,s_1
417,g_0,s_1
418,e_0,v_1
419,e_0,v_1
420,e_0,v_1
421,e_0,v_1
422,e_0,q_1
423,e_0,v_1
424,e_0,v_1
425,e_0,v_1
426,e_0,v_1
427,e_0,v_1
428,e_0,v_1
429,e_0,v_1
430,e_0,q_1
431,e_0,v_1
432,e_0,q_1
433,e_0,v_1
434,e_0,v_1
435,e_0,v_1
436,e_0,v_1
437,e_0,v_1
438,e_0,v_1
439,e_0,v_1
440,e_0,v_1
441,e_0,v_1
442,e_0,v_1
443,e_0,v_1
444,e_0,q_1
445,e_0,v_1
446,e_0,v_1
447,e_0,v_1
448,e_0,v_1
449,e_0,v_1
450,e_0,v_1
451,e_0,v_1
452,e_0,v_1
453,e_0,v_1
454,e_0,v_1
455,e_0,v_1
456,e_0,v_1
457,k_0,x_1
458,k_0,x_1
459,k_0,x_1
460,k_0,x_1
461,k_0,x_1
462,k_0,x_1
463,k_0,x_1
464,k_0,w_1
465,k_0,x_1
466,k_0,x_1
467,k_0,x_1
468,k_0,x_1
469,k_0,x_1
470,k_0,x_1
471,k_0,x_1
472,k_0,w_1
473,k_0,x_1
474,k_0,x_1
475,k_0,x_1
476,k_0,x_1
477,r_0,u_1
478,r_0,u_1
479,r_0,u_1
480,r_0,t_1
481,r_0,u_1
482,r_0,u_1
483,r_0,u_1
484,r_0,u_1
485,r_0,u_1
486,r_0,u_1
487,r_0,u_1
488,r_0,u_1
489,r_0,u_1
490,r_0,t_1
491,r_0,u_1
492,r_0,u_1
493,r_0,u_1
494,r_0,u_1
495,r_0,t_1
496,r_0,u_1
497,r_0,u_1
498,r_0,t_1
499,r_0,u_1
500,r_0,u_1
501,r_0,u_1
502,r_0,u_1
503,r_0,u_1
504,r_0,u_1
505,r_0,u_1
506,r_0,u_1
507,r_0,u_1
508,r_0,u_1
509,r_0,u_1
510,t_0,m_1
511,t_0,m_1
512,t_0,m_1
513,t_0,m_1
514,t_0,m_1
515,t_0,m_1
516,t_0,m_1
517,t_0,m_1
518,t_0,m_1
519,t_0,x_1
520,t_0,m_1
521,t_0,m_1
522,t_0,m_1
523,t_0,m_1
524,t_0,m_1
525,t_0,m_1
526,t_0,m_1
527,t_0,m_1
528,t_0,m_1
529,t_0,m_1
530,t_0,m_1
531,t_0,x_1
532,t_0,m_1
533,t_0,m_1
534,l_0,o_1
535,l_0,o_1
536,l_0,o_1
537,l_0,o_1
538,l_0,o_1
539,l_0,o_1
540,l_0,o_1
541,l_0,o_1
542,l_0,o_1
543,l_0,o_1
544,l_0,o_1
545,l_0,o_1
546,l_0,o_1
547,l_0,o_1
548,l_0,o_1
549,l_0,o_1
550,l_0,o_1
551,l_0,o_1
552,l_0,o_1
553,l_0,o_1
554,l_0,o_1
555,l_0,o_1
556,l_0,o_1
557,l_0,o_1
558,l_0,o_1
559,l_0,o_1
560,l_0,o_1
561,l_0,o_1
562,l_0,o_1
563,l_0,o_1
564,l_0,o_1
565,l_0,o_1
566,l_0,o_1
567,l_0,o_1
568,l_0,o_1
569,l_0,o_1
570,l_0,o_1
571,l_0,o_1
572,m_0,l_1
573,m_0,l_1
574,m_0,l_1
575,m_0,l_1
576,m_0,l_1
577,m_0,l_1
578,m_0,v_1
579,m_0,l_1
580,m_0,l_1
581,m_0,l_1
582,m_0,l_1
583,m_0,l_1
584,m_0,l_1
585,m_0,l_1
586,m_0,l_1
587,m_0,l_1
588,m_0,l_1
589,m_0,l_1
590,m_0,l_1
591,m_0,l_1
592,m_0,l_1
593,m_0,l_1
594,e_0,s_1
595,e_0,s_1
596,e_0,s_1
597,e_0,s_1
598,e_0,s_1
599,e_0,s_1
600,e_0,s_1
601,e_0,s_1
602,e_0,s_1
603,e_0,s_1
604,e_0,s_1
605,e_0,s_1
606,e_0,s_1
607,e_0,s_1
608,e_0,s_1
609,e_0,s_1
610,e_0,s_1
611,e_0,s_1
612,e_0,s_1
613,e_0,s_1
614,e_0,s_1
615,e_0,s_1
616,e_0,s_1
617,e_0,s_1
618,e_0,s_1
619,e_0,s_1
620,e_0,s_1
621,e_0,s_1
622,e_0,q_1
623,e_0,s_1
624,e_0,s_1
625,e_0,s_1
626,z_0,a_1
627,z_0,a_1
628,z_0,a_1
629,z_0,a_1
630,z_0,a_1
631,z_0,a_1
632,z_0,a_1
633,z_0,a_1
634,z_0,a_1
635,z_0,y_1
636,z_0,a_1
637,z_0,a_1
638,z_0,a_1
639,z_0,a_1
640,z_0,a_1
641,z_0,a_1
642,z_0,a_1
643,z_0,a_1
644,z_0,a_1
645,z_0,a_1
646,z_0,a_1
647,m_0,v_1
648,m_0,u_1
649,m_0,u_1
650,m_0,u_1
651,m_0,u_1
652,m_0,u_1
653,m_0,v_1
654,m_0,u_1
655,m_0,u_1
656,m_0,u_1
657,m_0,u_1
658,m_0,u_1
659,m_0,u_1
660,m_0,u_1
661,m_0,u_1
662,m_0,u_1
663,m_0,u_1
664,m_0,u_1
665,m_0,u_1
666,m_0,u_1
667,m_0,u_1
668,m_0,v_1
669,r_0,i_1
670,r_0,i_1
671,r_0,i_1
672,r_0,i_1
673,r_0,i_1
674,r_0,t_1
675,r_0,i_1
676,r_0,i_1
677,r_0,i_1
678,r_0,i_1
679,r_0,i_1
680,r_0,i_1
681,r_0,i_1
682,r_0,i_1
683,r_0,t_1
684,r_0,i_1
685,r_0,i_1
686,r_0,i_1
687,r_0,i_1
688,r_0,i_1
689,r_0,i_1
690,r_0,i_1
691,w_0,u_1
692,w_0,u_1
693,w_0,u_1
694,w_0,u_1
695,w_0,u_1
696,w_0,u_1
697,w_0,u_1
698,w_0,u_1
699,w_0,u_1
700,w_0,u_1
701,w_0,u_1
702,w_0,u_1
703,w_0,u_1
704,w_0,u_1
705,w_0,u_1
706,w_0,u_1
707,w_0,u_1
708,w_0,b_1
709,w_0,u_1
710,w_0,u_1
711,w_0,b_1
712,w_0,u_1
713,w_0,u_1
714,w_0,u_1
715,w_0,u_1
716,w_0,u_1
717,w_0,u_1
718,w_0,u_1
719,w_0,u_1
720,w_0,u_1
721,w_0,u_1
722,l_0,h_1
723,l_0,h_1
724,l_0,h_1
725,l_0,h_1
726,l_0,h_1
727,l_0,h_1
728,l_0,h_1
729,l_0,h_1
730,l_0,h_1
731,l_0,o_1
732,l_0,h_1
733,l_0,h_1
734,l_0,h_1
735,l_0,h_1
736,l_0,h_1
737,l_0,h_1
738,l_0,h_1
739,l_0,h_1
740,l_0,h_1
741,l_0,h_1
742,v_0,u_1
743,v_0,u_1
744,v_0,u_1
745,v_0,u_1
746,v_0,e_1
747,v_0,u_1
748,v_0,u_1
749,v_0,u_1
750,v_0,u_1
751,v_0,u_1
752,v_0,e_1
753,v_0,u_1
754,v_0,u_1
755,v_0,u_1
756,v_0,u_1
757,v_0,u_1
758,v_0,u_1
759,v_0,u_1
760,v_0,u_1
761,v_0,u_1
762,v_0,u_1
763,v_0,u_1
764,v_0,u_1
765,v_0,u_1
766,v_0,u_1
767,v_0,u_1
768,v_0,u_1
769,v_0,u_1
770,v_0,u_1
771,v_0,u_1
772,v_0,u_1
773,v_0,u_1
774,v_0,u_1
775,v_0,u_1
776,k_0,z_1
777,k_0,z_1
778,k_0,z_1
779,k_0,z_1
780,k_0,z_1
781,k_0,z_1
782,k_0,z_1
783,k_0,z_1
784,k_0,z_1
785,k_0,z_1
786,k_0,z_1
787,k_0,z_1
788,k_0,z_1
789,k_0,z_1
790,k_0,z_1
791,k_0,z_1
792,k_0,z_1
793,k_0,w_1
794,k_0,z_1
795,k_0,z_1
796,k_0,z_1
797,k_0,z_1
798,k_0,z_1
799,k_0,z_1
800,k_0,z_1
801,k_0,z_1
802,k_0,z_1
803,k_0,z_1
804,k_0,z_1
805,k_0,z_1
806,k_0,w_1
807,k_0,z_1
808,k_0,z_1
809,k_0,z_1
810,k_0,z_1
811,k_0,z_1
812,k_0,z_1
813,k_0,z_1
814,k_0,z_1
815,d_0,o_1
816,d_0,o_1
817,d_0,o_1
818,d_0,o_1
819,d_0,o_1
820,d_0,o_1
821,d_0,o_1
822,d_0,o_1
823,d_0,o_1
824,d_0,o_1
825,d_0,o_1
826,d_0,o_1
827,d_0,o_1
828,d_0,o_1
829,d_0,o_1
830,d_0,o_1
831,d_0,o_1
832,d_0,o_1
833,d_0,o_1
834,d_0,i_1
835,d_0,o_1
836,d_0,o_1
837,d_0,o_1
838,d_0,o_1
839,d_0,o_1
840,d_0,o_1
841,d_0,o_1
842,d_0,o_1
843,d_0,o_1
844,d_0,i_1
845,d_0,o_1
846,d_0,o_1
847,d_0,o_1
848,d_0,o_1
849,d_0,o_1
850,d_0,o_1
851,d_0,o_1
852,d_0,o_1
853,l_0,i_1
854,l_0,i_1
855,l_0,i_1
856,l_0,i_1
857,l_0,i_1
858,l_0,i_1
859,l_0,i_1
860,l_0,i_1
861,l_0,i_1
862,l_0,i_1
863,l_0,i_1
864,l_0,i_1
865,l_0,i_1
866,l_0,i_1
867,l_0,i_1
868,l_0,o_1
869,l_0,i_1
870,l_0,i_1
871,l_0,i_1
872,l_0,i_1
873,l_0,i_1
874,l_0,i_1
875,l_0,i_1
876,l_0,o_1
877,l_0,i_1
878,n_0,s_1
879,n_0,s_1
880,n_0,s_1
881,n_0,s_1
882,n_0,s_1
883,n_0,s_1
884,n_0,s_1
885,n_0,s_1
886,n_0,s_1
887,n_0,s_1
888,n_0,s_1
889,n_0,s_1
890,n_0,s_1
891,n_0,s_1
892,n_0,s_1
893,n_0,s_1
894,n_0,s_1
895,n_0,s_1
896,n_0,s_1
897,n_0,p_1
898,n_0,p_1
899,n_0,s_1
900,n_0,s_1
901,n_0,s_1
902,n_0,s_1
903,n_0,s_1
904,n_0,s_1
905,n_0,s_1
906,f_0,q_1
907,f_0,q_1
908,f_0,q_1
909,f_0,q_1
910,f_0,q_1
911,f_0,q_1
912,f_0,q_1
913,f_0,q_1
914,f_0,q_1
915,f_0,h_1
916,f_0,h_1
917,f_0,q_1
918,f_0,q_1
919,f_0,q_1
920,f_0,q_1
921,f_0,q_1
922,f_0,q_1
923,f_0,q_1
924,f_0,q_1
925,f_0,q_1
926,f_0,q_1
927,f_0,q_1
928,f_0,q_1
929,f_0,q_1
930,f_0,q_1
931,f_0,q_1
932,f_0,q_1
933,q_0,a_1
934,q_0,l_1
935,q_0,l_1
936,q_0,l_1
937,q_0,a_1
938,q_0,a_1
939,q_0,a_1
940,q_0,a_1
941,q_0,a_1
942,q_0,a_1
943,q_0,a_1
944,q_0,a_1
945,q_0,a_1
946,q_0,a_1
947,q_0,a_1
948,q_0,a_1
949,q_0,a_1
950,q_0,a_1
951,q_0,a_1
952,q_0,a_1
953,q_0,a_1
954,q_0,a_1
955,q_0,a_1
956,q_0,a_1
957,q_0,a_1
958,q_0,a_1
959,q_0,a_1
960,q_0,a_1
961,q_0,a_1
962,y_0,u_1
963,y_0,u_1
964,y_0,u_1
965,y_0,u_1
966,y_0,u_1
967,y_0,u_1
968,y_0,u_1
969,y_0,u_1
970,y_0,u_1
971,y_0,u_1
972,y_0,u_1
973,y_0,u_1
974,y_0,u_1
975,y_0,u_1
976,y_0,u_1
977,y_0,u_1
978,y_0,u_1
979,y_0,u_1
980,y_0,k_1
981,y_0,u_1
982,y_0,u_1
983,y_0,u_1
984,y_0,u_1
985,y_0,u_1
986,y_0,u_1
987,y_0,u_1
988,y_0,u_1
989,y_0,u_1
990,y_0,k_1
991,y_0,u_1
992,y_0,u_1
993,y_0,u_1
994,y_0,u_1
995,y_0,u_1
996,y_0,u_1
997,y_0,k_1
998,t_0,i_1
999,t_0,i_1
1000,t_0,i_1
1001,t_0,i_1
1002,t_0,i_1
1003,t_0,i_1
1004,t_0,i_1
1005,t_0,i_1
1006,t_0,i_1
1007,t_0,i_1
1008,t_0,i_1
1009,t_0,i_1
1010,t_0,i_1
1011,t_0,i_1
1012,t_0,i_1
1013,t_0,i_1
1014,t_0,i_1
1015,t_0,i_1
1016,t_0,i_1
1017,t_0,i_1
1018,t_0,i_1
1019,t_0,i_1
1020,t_0,i_1
1021,t_0,i_1
1022,t_0,i_1
1023,t_0,i_1
1024,t_0,i_1
1025,t_0,x_1
1026,t_0,i_1
1027,t_0,i_1
1028,n_0,b_1
1029,n_0,b_1
1030,n_0,b_1
1031,n_0,b_1
1032,n_0,b_1
1033,n_0,b_1
1034,n_0,b_1
1035,n_0,p_1
1036,n_0,b_1
1037,n_0,b_1
1038,n_0,b_1
1039,n_0,b_1
1040,n_0,b_1
1041,n_0,b_1
1042,n_0,b_1
1043,n_0,b_1
1044,n_0,b_1
1045,n_0,b_1
1046,n_0,b_1
1047,n_0,p_1
1048,g_0,o_1
1049,g_0,o_1
1050,g_0,o_1
1051,g_0,o_1
1052,g_0,o_1
1053,g_0,o_1
1054,g_0,j_1
1055,g_0,o_1
1056,g_0,o_1
1057,g_0,o_1
1058,g_0,o_1
1059,g_0,o_1
1060,g_0,o_1
1061,g_0,o_1
1062,g_0,o_1
1063,g_0,o_1
1064,g_0,o_1
1065,g_0,o_1
1066,g_0,o_1
1067,g_0,o_1
1068,g_0,o_1
1069,g_0,o_1
1070,g_0,j_1
1071,g_0,o_1
1072,g_0,o_1
1073,g_0,o_1
1074,g_0,o_1
1075,g_0,o_1
1076,k_0,p_1
1077,k_0,p_1
1078,k_0,w_1
1079,k_0,w_1
1080,k_0,p_1
1081,k_0,p_1
1082,k_0,p_1
1083,k_0,p_1
1084,k_0,p_1
1085,k_0,p_1
1086,k_0,p_1
1087,k_0,p_1
1088,k_0,p_1
1089,k_0,p_1
1090,k_0,p_1
1091,k_0,p_1
1092,k_0,p_1
1093,k_0,w_1
1094,k_0,p_1
1095,k_0,p_1
1096,k_0,p_1
1097,k_0,p_1
1098,k_0,p_1
1099,k_0,p_1
1100,k_0,p_1
1101,k_0,p_1
1102,k_0,p_1
1103,k_0,p_1
1104,h_0,f_1
1105,h_0,s_1
1106,h_0,s_1
1107,h_0,s_1
1108,h_0,f_1
1109,h_0,s_1
1110,h_0,s_1
1111,h_0,s_1
1112,h_0,s_1
1113,h_0,s_1
1114,h_0,s_1
1115,h_0,s_1
1116,h_0,s_1
1117,h_0,s_1
1118,h_0,s_1
1119,h_0,s_1
1120,h_0,s_1
1121,h_0,s_1
1122,h_0,s_1
1123,h_0,s_1
1124,h_0,s_1
1125,h_0,s_1
1126,h_0,s_1
1127,h_0,s_1
1128,h_0,s_1
1129,h_0,s_1
1130,h_0,s_1
1131,h_0,f_1
1132,h_0,s_1
1133,h_0,s_1
1134,h_0,s_1
1135,h_0,s_1
1136,h_0,s_1
1137,h_0,s_1
1138,h_0,s_1
1139,h_0,s_1
1140,h_0,s_1
1141,g_0,j_1
1142,g_0,j_1
1143,g_0,j_1
1144,g_0,j_1
1145,g_0,j_1
1146,g_0,j_1
1147,g_0,j_1
1148,g_0,j_1
1149,g_0,j_1
1150,g_0,j_1
1151,g_0,j_1
1152,g_0,j_1
1153,g_0,j_1
1154,g_0,j_1
1155,g_0,j_1
1156,g_0,j_1
1157,g_0,j_1
1158,g_0,j_1
1159,g_0,j_1
1160,g_0,j_1
1161,g_0,j_1
1162,g_0,j_1
1163,g_0,j_1
1164,g_0,j_1
1165,g_0,j_1
1166,g_0,j_1
1167,g_0,j_1
1168,g_0,j_1
1169,v_0,v_1
1170,v_0,v_1
1171,v_0,v_1
1172,v_0,v_1
1173,v_0,v_1
1174,v_0,v_1
1175,v_0,v_1
1176,v_0,v_1
1177,v_0,v_1
1178,v_0,v_1
1179,v_0,v_1
1180,v_0,v_1
1181,v_0,v_1
1182,v_0,v_1
1183,v_0,v_1
1184,v_0,v_1
1185,v_0,v_1
1186,v_0,v_1
1187,v_0,v_1
1188,v_0,v_1
1189,v_0,v_1
1190,v_0,e_1
1191,v_0,v_1
1192,v_0,e_1
1193,v_0,v_1
1194,v_0,v_1
1195,v_0,v_1
1196,v_0,v_1
1197,v_0,v_1
1198,v_0,v_1
1199,v_0,v_1
1200,v_0,v_1
1201,v_0,v_1
1202,v_0,v_1
1203,v_0,v_1
1204,l_0,y_1
1205,l_0,y_1
1206,l_0,y_1
1207,l_0,y_1
1208,l_0,y_1
1209,l_0,y_1
1210,l_0,y_1
1211,l_0,y_1
1212,l_0,y_1
1213,l_0,y_1
1214,l_0,y_1
1215,l_0,y_1
1216,l_0,y_1
1217,l_0,y_1
1218,l_0,y_1
1219,l_0,y_1
1220,l_0,y_1
1221,l_0,o_1
1222,l_0,y_1
1223,l_0,y_1
1224,l_0,y_1
1225,l_0,y_1
1226,l_0,y_1
1227,l_0,y_1
1228,l_0,o_1
1229,l_0,y_1
1230,l_0,y_1
1231,l_0,y_1
1232,l_0,y_1
1233,l_0,y_1
1234,l_0,y_1
1235,e_0,r_1
1236,e_0,r_1
1237,e_0,r_1
1238,e_0,r_1
1239,e_0,r_1
1240,e_0,r_1
1241,e_0,r_1
1242,e_0,r_1
1243,e_0,r_1
1244,e_0,r_1
1245,e_0,r_1
1246,e_0,r_1
1247,e_0,r_1
1248,e_0,r_1
1249,e_0,r_1
1250,e_0,r_1
1251,e_0,r_1
1252,e_0,r_1
1253,e_0,r_1
1254,e_0,r_1
1255,e_0,r_1
1256,e_0,r_1
1257,e_0,r_1
1258,e_0,r_1
1259,e_0,r_1
1260,e_0,q_1
1261,e_0,r_1
1262,e_0,q_1
1263,e_0,r_1
1264,e_0,r_1
1265,e_0,r_1
1266,e_0,r_1
1267,e_0,q_1
1268,e_0,r_1
1269,j_0,o_1
1270,j_0,o_1
1271,j_0,o_1
1272,j_0,o_1
1273,j_0,o_1
1274,j_0,o_1
1275,j_0,o_1
1276,j_0,o_1
1277,j_0,o_1
1278,j_0,o_1
1279,j_0,o_1
1280,j_0,o_1
1281,j_0,o_1
1282,j_0,o_1
1283,j_0,o_1
1284,j_0,o_1
1285,j_0,o_1
1286,j_0,g_1
1287,j_0,o_1
1288,j_0,o_1
1289,j_0,o_1
1290,j_0,g_1
1291,j_0,o_1
1292,i_0,v_1
1293,i_0,v_1
1294,i_0,v_1
1295,i_0,v_1
1296,i_0,v_1
1297,i_0,v_1
1298,i_0,v_1
1299,i_0,v_1
1300,i_0,d_1
1301,i_0,v_1
1302,i_0,v_1
1303,i_0,v_1
1304,i_0,v_1
1305,i_0,v_1
1306,i_0,v_1
1307,i_0,v_1
1308,i_0,v_1
1309,i_0,v_1
1310,i_0,v_1
1311,i_0,v_1
1312,i_0,v_1
1313,i_0,v_1
1314,i_0,v_1
1315,v_0,t_1
1316,v_0,t_1
1317,v_0,t_1
1318,v_0,t_1
1319,v_0,t_1
1320,v_0,t_1
1321,v_0,t_1
1322,v_0,t_1
1323,v_0,t_1
1324,v_0,t_1
1325,v_0,t_1
1326,v_0,t_1
1327,v_0,t_1
1328,v_0,t_1
1329,v_0,t_1
1330,v_0,e_1
1331,v_0,t_1
1332,v_0,t_1
1333,v_0,t_1
1334,v_0,t_1
1335,v_0,t_1
1336,v_0,t_1
1337,v_0,t_1
1338,v_0,t_1
1339,v_0,t_1
1340,v_0,t_1
1341,v_0,t_1
1342,v_0,t_1
1343,v_0,t_1
1344,a_0,n_1
1345,a_0,n_1
1346,a_0,n_1
1347,a_0,m_1
1348,a_0,n_1
1349,a_0,n_1
1350,a_0,n_1
1351,a_0,m_1
1352,a_0,n_1
1353,a_0,n_1
1354,a_0,n_1
1355,a_0,n_1
1356,a_0,n_1
1357,a_0,n_1
1358,a_0,n_1
1359,a_0,n_1
1360,a_0,n_1
1361,a_0,n_1
